title	url	verified
Subsampling	https://insightful-data-lab.com/2025/08/30/subsampling/	exact
Class Weighting	https://insightful-data-lab.com/2025/08/30/class-weighting/	exact
SMOTE (Synthetic Minority Over-sampling Technique)	https://insightful-data-lab.com/2025/08/30/smote-synthetic-minority-over-sampling-technique/	exact
Oversampling	https://insightful-data-lab.com/2025/08/30/oversampling/	exact
Low-pass Filtering	https://insightful-data-lab.com/2025/08/30/low-pass-filtering/	exact
NearMiss (Distance-based Undersampling)	https://insightful-data-lab.com/2025/08/30/nearmiss-distance-based-undersampling/	exact
Cluster-based undersampling	https://insightful-data-lab.com/2025/08/30/cluster-based-undersampling/	exact
Random Undersampling	https://insightful-data-lab.com/2025/08/30/random-undersampling/	exact
Signal Processing	https://insightful-data-lab.com/2025/08/30/signal-processing/	exact
Time Series	https://insightful-data-lab.com/2025/08/30/time-series/	exact
Micro AUROC	https://insightful-data-lab.com/2025/08/30/micro-auroc/	exact
Multi-label Classification	https://insightful-data-lab.com/2025/08/30/multi-label-classification/	exact
Micro F1	https://insightful-data-lab.com/2025/08/30/micro-f1/	exact
Single-label Classification	https://insightful-data-lab.com/2025/08/30/single-label-classification/	exact
Micro Recall	https://insightful-data-lab.com/2025/08/30/micro-recall/	exact
Micro Precision	https://insightful-data-lab.com/2025/08/30/micro-precision/	exact
One-vs-Rest (OvR) AUROC	https://insightful-data-lab.com/2025/08/30/one-vs-rest-ovr-auroc/	exact
Macro AUROC (Macro-Averaged AUROC)	https://insightful-data-lab.com/2025/08/30/macro-auroc/	exact
Macro F1	https://insightful-data-lab.com/2025/08/30/macro-f1/	exact
Macro Recall	https://insightful-data-lab.com/2025/08/30/macro-recall/	exact
Macro Precision	https://insightful-data-lab.com/2025/08/30/macro-precision/	exact
Multiclass AUROC	https://insightful-data-lab.com/2025/08/30/multiclass-auroc/	exact
Gini Coefficient	https://insightful-data-lab.com/2025/08/30/gini-coefficient/	exact
Bootstrap Confidence Intervals (CIs)	https://insightful-data-lab.com/2025/08/30/bootstrap-confidence-intervals-cis/	exact
Probability	https://insightful-data-lab.com/2025/08/30/probability/	exact
Mann–Whitney U Test (also called the Wilcoxon rank-sum test)	https://insightful-data-lab.com/2025/08/30/mann-whitney-u-test-also-called-the-wilcoxon-rank-sum-test/	exact
Predictive Parity (Calibration)	https://insightful-data-lab.com/2025/08/29/predictive-parity-calibration/	exact
Equalized Odds (Fairness)	https://insightful-data-lab.com/2025/08/29/equalized-odds-fairness/	exact
Equal Opportunity (Fairness)	https://insightful-data-lab.com/2025/08/29/equal-opportunity-fairness/	exact
Demographic Parity (Statistical Parity)	https://insightful-data-lab.com/2025/08/29/demographic-parity-statistical-parity/	exact
Cross-Selling	https://insightful-data-lab.com/2025/08/29/cross-selling/	exact
Upselling	https://insightful-data-lab.com/2025/08/29/upselling/	exact
Customer Segmentation	https://insightful-data-lab.com/2025/08/29/customer-segmentation/	exact
SaaS (Software as a Service)	https://insightful-data-lab.com/2025/08/29/saas-software-as-a-service/	exact
Valuation Metric	https://insightful-data-lab.com/2025/08/29/valuation-metric/	exact
D2C (Direct-to-Consumer)	https://insightful-data-lab.com/2025/08/29/d2c-direct-to-consumer/	exact
LTV:CAC Ratio	https://insightful-data-lab.com/2025/08/29/ltvcac-ratio/	exact
Net LTV (sometimes called Contribution LTV)	https://insightful-data-lab.com/2025/08/29/net-ltv-sometimes-called-contribution-ltv/	exact
Gross LTV (Customer Lifetime Value)	https://insightful-data-lab.com/2025/08/29/gross-ltv-customer-lifetime-value/	exact
Predictive LTV (pLTV)	https://insightful-data-lab.com/2025/08/29/predictive-ltv-pltv/	exact
Cohort-Based LTV (Simple Version)	https://insightful-data-lab.com/2025/08/29/cohort-based-ltv-simple-version/	exact
Customer Lifetime	https://insightful-data-lab.com/2025/08/29/customer-lifetime/	exact
Gross Margin	https://insightful-data-lab.com/2025/08/29/gross-margin/	exact
Fully Loaded CAC (Customer Acquisition Cost)	https://insightful-data-lab.com/2025/08/29/fully-loaded-cac-customer-acquisition-cost/	exact
Organic CAC (Customer Acquisition Cost)	https://insightful-data-lab.com/2025/08/29/organic-cac-customer-acquisition-cost/	exact
Paid CAC (Customer Acquisition Cost)	https://insightful-data-lab.com/2025/08/29/paid-cac-customer-acquisition-cost/	exact
Channel-Specific CAC (Customer Acquisition Cost)	https://insightful-data-lab.com/2025/08/29/channel-specific-cac-customer-acquisition-cost/	exact
Blended CAC (Customer Acquisition Cost)	https://insightful-data-lab.com/2025/08/29/blended-cac-customer-acquisition-cost/	exact
Lead-Gen Software	https://insightful-data-lab.com/2025/08/29/lead-gen-software/	exact
Thompson Sampling (TS) in Bandits (Multi-Armed Bandit Problem (MAB))	https://insightful-data-lab.com/2025/08/29/thompson-sampling-ts-in-bandits/	exact
Bayesian Decision Theory (BDT)	https://insightful-data-lab.com/2025/08/29/bayesian-decision-theory-bdt/	exact
Bayesian Time Series	https://insightful-data-lab.com/2025/08/29/bayesian-time-series/	exact
Posterior probability of uplift	https://insightful-data-lab.com/2025/08/29/posterior-probability-of-uplift/	exact
Gaussian Processes (GPs)	https://insightful-data-lab.com/2025/08/29/gaussian-processes-gps/	exact
Bayesian Neural Networks (BNNs)	https://insightful-data-lab.com/2025/08/29/bayesian-neural-networks-bnns/	exact
Variational Inference (VI)	https://insightful-data-lab.com/2025/08/29/variational-inference-vi/	exact
MCMC (Markov Chain Monte Carlo)	https://insightful-data-lab.com/2025/08/28/mcmc-markov-chain-monte-carlo/	exact
Sequential Settings	https://insightful-data-lab.com/2025/08/28/sequential-settings/	exact
Frequentist	https://insightful-data-lab.com/2025/08/28/frequentist/	exact
Binomial Likelihood	https://insightful-data-lab.com/2025/08/28/binomial-likelihood/	exact
Posterior belief	https://insightful-data-lab.com/2025/08/28/posterior-belief/	exact
