id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
0,0.9417154,-1.3965781,-0.67971444,0.37050357,-1.0163488,-0.072120026,0.17919649,-0.8310992,-1.3090373,0.19388774
1,0.9932497,-0.64698166,-0.333668,1.6456717,-0.55888975,-0.51415664,2.4041193,-1.5310826,0.7964658,-2.0036485
2,-0.59696275,1.5036808,1.2214364,-0.9011201,-0.45369872,0.080233045,-1.2581033,0.55222,2.2275772,-1.3552415
3,-1.981533,0.28824374,-0.11912331,1.80433,-0.16036218,-0.050659712,-0.19087389,-0.99060625,0.67302996,-1.3240825
4,1.1664902,0.008376179,0.50363004,-0.5527647,-0.9201937,1.8002634,0.4685498,1.2070032,0.1871229,2.6116076
5,0.35750005,-1.0298048,0.7685091,0.4252991,-2.32115,-0.11590423,0.98019904,0.80116504,-0.3394354,-1.2126242
6,0.49129355,-1.1458279,1.3246787,-0.30626756,-0.924819,-0.56766593,-0.8108888,-0.5607173,-0.7363841,-0.37900853
7,0.2389697,0.5968891,-1.1102433,-0.95153797,-0.42915252,0.063745596,0.09772937,-2.0439816,1.7040273,-0.890194
8,1.8169888,-1.352255,-0.96417165,-0.25143495,-0.22267511,-0.7715783,0.73489517,-1.8020341,1.0550578,-0.817973
9,1.2515997,-0.40871462,-1.3990566,0.4491147,2.230171,-0.052446984,0.11148494,-0.3993741,-0.87652826,-0.75132644
10,-1.3207163,-1.4090316,0.07093801,1.6200914,0.5230956,0.4737878,0.2486022,-0.8641395,0.18531318,-0.42158103
11,0.9375556,1.2302301,1.2537411,0.36624584,1.0437561,-0.66224045,-0.098271504,-0.21086006,-0.9030067,-1.0242589
12,-0.88496256,-0.45760584,-1.9229732,2.0441537,0.20371614,0.04741048,0.6205062,-0.15504022,0.4896275,0.4828764
13,0.73705035,-2.2327156,1.0422839,0.15022749,0.6233755,0.46194878,0.26299605,1.4187976,-0.37160888,0.5094941
14,-0.28338686,-0.0064761867,2.4013507,1.7660104,0.29483426,0.8950628,-0.22023171,-1.8962731,0.53112894,-0.2986222
15,-1.2177584,-2.3048656,1.4029622,0.5356926,0.516578,-0.75577646,-0.005820759,1.3478013,-0.57964814,0.21980512
16,-1.0108252,0.18214664,-1.081416,-0.5015313,-0.35398194,0.87085575,0.39784196,-0.6477458,-0.14687394,-0.0587932
17,-0.047878444,-0.90354997,0.7788298,0.2299717,0.15332119,2.4692547,-0.4936223,0.6598097,-1.5351471,1.8747532
18,-0.92949414,-1.0377305,-0.21241704,-0.96797794,-1.2459337,0.7430063,0.6535393,0.0062591163,-0.37420374,0.63820755
19,-0.63404363,-0.7414202,0.91877514,-0.9138998,-0.8712958,0.5196789,-0.31023657,-0.99352986,-0.16224112,-0.26362145
20,-0.729456,0.26079836,0.6711553,1.0243511,-1.2797762,0.102617286,0.0714987,-2.0739014,-0.86442804,0.029434843
21,-1.7805061,0.37582156,1.2937799,-1.2935144,1.4662431,3.5716014,-0.27984512,-0.30984065,-0.45018348,-2.9078634
22,-1.2288308,0.8715409,-0.27996036,0.6340426,-0.014007304,-0.06726434,0.5409554,-1.1001756,0.4111485,0.29005873
23,-1.2031815,-1.6400652,-0.5190188,2.7223954,1.5855702,1.1547368,-0.32816446,0.2489945,-0.16988032,1.0852069
24,0.5226439,-1.9179654,0.81121063,0.9019342,-0.5390309,-0.74964285,0.5598587,-0.5823693,0.28618276,0.033551693
25,-0.5370931,-1.1601863,2.229096,-0.7788315,0.24720584,-0.15720604,-0.008450893,-1.5545822,-0.88435113,-1.3076689
26,1.170806,-0.82054883,-0.8644617,0.8926245,0.34820852,1.2837344,0.5713358,0.031972133,-0.8835729,1.5287278
27,-0.17868342,-0.8909687,-0.21079327,-0.19929351,1.4594765,2.427997,-0.24636976,0.9714258,-0.79505306,-0.24998298
28,-0.7333176,0.101713434,0.6005003,0.18786651,-0.37938908,-0.05533392,-0.73234427,0.5101138,-0.39345917,0.23362102
29,0.9519271,-0.6154353,1.4776152,-2.3011453,-0.6339174,0.94999546,-0.32842937,-1.0021237,-0.5219301,1.5432956
30,1.7693398,-1.3831595,-0.67868257,-0.6937048,1.4090698,-0.227165,0.3851654,0.16907966,-0.00029114014,-0.35526347
31,0.99934113,0.049336847,-1.0832803,-0.1299662,-1.3226641,0.09474548,-0.45070675,-0.9470066,-2.021977,2.1989355
32,-0.118750155,1.7285727,-0.8556842,0.39466473,1.8374798,0.7795424,-0.6416048,-2.062681,-1.4342928,0.45002323
33,0.7390626,0.68456405,0.07787113,0.28277704,0.6604902,-0.22399943,0.4026377,0.5283006,-0.90588766,0.8720138
34,1.7394674,2.436877,0.5635824,-0.060467213,-1.2532479,0.84130716,0.8407325,-0.8131241,0.7652048,-0.4393585
35,-1.1750555,0.01151141,-0.32337436,-0.5888129,-0.5420803,-0.44713336,-1.3764658,2.1623409,1.4868897,-1.0945125
36,0.55272895,0.12525816,-0.07569634,1.7495047,0.72494197,-1.1061413,-0.36080942,-1.7777853,0.38454336,0.17032015
37,0.192696,-0.20807591,0.044895735,0.28450927,1.9186077,0.18483049,-0.28708702,0.517621,0.86753684,1.1756247
38,1.1629066,-0.23246923,0.9606204,-0.68792504,-1.3472368,-0.67447215,0.5715809,-1.5841911,1.6549151,-0.09856
39,0.5637993,-0.379128,-1.3178556,-0.29819712,0.52535015,-1.019996,0.2529546,-0.95912457,-1.67178,-1.008476
40,0.4350522,-1.3966707,0.63380516,0.0009585302,-0.76563805,-0.033010818,1.8164222,0.79446286,0.79535097,-0.2979879
41,-1.5269332,0.9951545,1.3232298,0.54575133,0.57317543,0.5901402,0.16273122,-0.29626846,1.0138435,0.23287503
42,-1.9924419,0.10235716,-0.30629587,-1.4646167,1.7072247,2.39296,-1.1667217,0.72875214,-0.23499413,0.2027994
43,-0.5633814,0.10421199,1.3574533,0.28080788,-0.3229858,-0.343799,-0.8790427,-0.28039896,-1.2868874,1.157537
44,-2.060624,0.12548864,-0.8640773,-0.71592265,-0.6119259,-0.6709094,1.0756953,1.0665932,-1.2695191,-1.2231151
45,1.5374056,1.5787028,0.6804749,-2.1241639,1.0522325,-1.0853459,0.44715852,-1.1242133,0.14319475,-0.6314935
46,0.21733987,-1.062461,0.045821764,-1.1016196,0.097368106,-0.38363642,2.242262,0.6459547,-2.142858,0.18674333
47,1.3936901,-0.5039044,-0.6278101,-0.30412892,1.5400695,1.0252138,1.3310329,-1.1185352,-0.33192703,-0.98977876
48,-0.16713528,0.46139982,-1.15481,0.5795647,2.073363,-1.0914493,-0.39440587,0.23111135,0.24274473,-1.609874
49,1.0678353,0.20857799,-0.09621835,-0.22789742,2.237683,-1.2433488,-0.06943152,-0.39845693,0.8528948,0.40350047
50,0.9089792,0.16971518,2.7010531,0.16932659,0.16066916,-0.34704503,0.53544384,-0.42383042,0.41946682,1.4367625
51,0.47466537,-0.19395465,0.95887184,0.04331479,1.3463955,0.21021412,0.40757692,-0.4979046,0.6992212,0.5963639
52,0.5108155,-0.13399328,0.92755586,-0.19805616,-0.8204903,0.13857898,2.3253276,-0.9695759,-0.4190275,-0.4808424
53,0.4648003,-0.02059725,-0.5095843,-0.2836983,1.9317474,-1.4470723,0.2920215,-0.8209754,0.07542598,1.6751566
54,-0.26620886,1.0088842,0.510267,0.15262203,0.3994485,0.05186416,0.9356154,0.4635486,-1.5605127,-0.51547945
55,0.6559814,0.8165197,-0.2740643,-0.3187166,-0.9029132,0.3262795,0.32762766,-0.10888882,-0.8725757,0.56437707
56,-0.12018137,-0.8711234,0.23754546,0.7986884,-2.4090717,0.44564635,0.23205054,-0.77120835,-1.4258108,-0.5457583
57,0.30759755,-1.0426689,-1.3744401,1.0148181,-0.6865116,0.3140496,-2.2522352,0.67823464,0.6962684,0.8698407
58,-0.74738955,-0.8728964,0.017444639,0.05818425,-0.43749452,-1.3179994,0.84115887,0.041133553,0.16448463,-1.3984356
59,-0.5595068,-0.16334544,-0.3062201,-1.0869259,-0.73687375,-1.5205257,0.18738434,1.6839876,-0.54050523,2.8249035
60,1.5047913,1.4279627,0.74519473,0.19406654,-1.3024043,-0.21553427,-0.36878058,0.2814995,-0.01337738,0.81626356
61,0.071800075,-2.187163,-0.22183073,-0.15159269,0.22400017,-0.82416594,-0.6579021,1.0382674,0.013456536,2.2473826
62,0.5350461,0.88624644,-0.2989666,1.1738255,-1.2556258,-0.6296877,-1.0086656,-0.20146504,-0.6740971,-0.7606925
63,0.31435466,-1.7335495,-0.25300664,0.93048096,-0.4033504,-0.4231443,-0.32021153,-0.92636234,-0.4609177,-0.2968419
64,-0.45934325,-0.81430614,-1.0204527,0.17700374,-1.523963,0.22456397,-0.6041126,1.3215395,0.78514594,0.31212944
65,-0.009874181,-0.32796422,-0.16472055,-0.15692262,-2.0613904,0.3727455,1.2208856,0.07765953,1.8364756,0.8147521
66,-0.64136815,-1.5158762,-0.05531125,-0.09914137,1.3464063,0.35634008,2.0321023,-0.004020346,-0.50104094,-1.5317497
67,0.24360056,1.651121,-0.1114358,0.45877442,-0.86839855,0.21776958,0.5142234,0.9115555,0.853676,-0.6434697
68,-1.485525,0.51078,-0.5200092,-0.07955655,0.91643316,-0.57842165,0.24280415,-0.9622651,0.34736094,-0.93081343
