iter	Passed	Remaining
0	1	259
1	1	233
2	2	236
3	3	244
4	4	243
5	5	240
6	6	219
7	7	220
8	8	222
9	9	218
10	10	225
11	11	225
12	12	230
13	14	240
14	15	237
15	16	235
16	17	235
17	18	235
18	19	234
19	20	240
20	22	241
21	23	245
22	25	247
23	26	245
24	27	246
25	28	246
26	29	243
27	30	243
28	31	242
29	34	249
30	35	248
31	36	247
32	37	243
33	38	242
34	38	238
35	39	237
36	41	236
37	42	236
38	44	238
39	45	238
40	46	236
41	47	234
42	48	233
43	49	231
44	50	231
45	51	229
46	52	227
47	53	227
48	54	225
49	55	223
50	56	221
51	58	221
52	59	220
53	60	218
54	61	217
55	62	217
56	65	222
57	66	221
58	68	221
59	69	220
60	70	218
61	71	216
62	76	225
63	77	224
64	78	222
65	78	219
66	80	218
67	81	216
68	82	216
69	83	214
70	84	213
71	85	212
72	86	210
73	87	208
74	88	206
75	89	204
76	90	203
77	91	201
78	92	201
79	94	200
80	95	199
81	96	197
82	97	196
83	98	194
84	99	193
85	100	192
86	101	190
87	102	189
88	103	187
89	104	186
90	106	185
91	107	184
92	109	184
93	110	182
94	111	181
95	112	179
96	113	179
97	114	178
98	115	176
99	116	175
100	117	173
101	118	172
102	120	172
103	121	170
104	122	169
105	123	168
106	125	167
107	126	166
108	127	165
109	129	164
110	130	163
111	131	162
112	134	163
113	136	162
114	137	160
115	138	159
116	139	158
117	140	156
118	141	155
119	142	154
120	143	152
121	144	151
122	145	150
123	146	149
124	147	147
125	148	146
126	149	144
127	150	143
128	151	142
129	153	141
130	154	140
131	155	138
132	156	137
133	157	136
134	158	135
135	159	133
136	160	132
137	161	131
138	162	129
139	163	128
140	164	127
141	165	126
142	166	124
143	167	123
144	168	122
145	169	120
146	172	121
147	173	119
148	174	118
149	175	117
150	176	115
151	177	114
152	178	112
153	180	112
154	182	111
155	183	110
156	184	109
157	185	107
158	186	106
159	187	105
160	188	104
161	189	102
162	190	101
163	192	100
164	193	99
165	194	98
166	195	97
167	196	95
168	197	94
169	199	93
170	200	92
171	201	91
172	202	90
173	203	88
174	204	87
175	205	86
176	206	85
177	207	84
178	208	82
179	209	81
180	210	80
181	211	79
182	212	77
183	214	76
184	214	75
185	216	74
186	219	73
187	220	72
188	222	71
189	223	70
190	224	69
191	225	68
192	230	68
193	231	66
194	232	65
195	233	64
196	234	63
197	235	61
198	236	60
199	237	59
200	238	58
201	239	56
202	241	55
203	241	54
204	242	53
205	244	52
206	245	50
207	246	49
208	248	48
209	249	47
210	250	46
211	251	45
212	253	43
213	254	42
214	255	41
215	256	40
216	257	39
217	258	37
218	259	36
219	260	35
220	261	34
221	262	33
222	263	31
223	266	30
224	267	29
225	268	28
226	269	27
227	270	26
228	271	24
229	272	23
230	274	22
231	276	21
232	278	20
233	279	19
234	280	17
235	281	16
236	282	15
237	284	14
238	286	13
239	286	11
240	287	10
241	288	9
242	289	8
243	290	7
244	292	5
245	294	4
246	295	3
247	295	2
248	296	1
249	297	0
