The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Key,SYN,ANT
This eBook is for the use of anyone anywhere in the United States and most, Backwards  rearwards  aft  abaft  astern  behind  back  , Onwards  forwards  ahead  before  afront  beyond  afore
other parts of the world at no cost and with almost no restrictions, Leave  forsake  desert  renounce  cease  relinquish  discontinue  castoff  resign  retire  quit  forego  forswear  depart from  vacate  surrender  abjure  repudiate  , Pursue  prosecute  undertake  seek  court  cherish  favor  protect  claim  maintain  defend  advocate  retain  support  uphold  occupy  haunt  hold  assert  vindicate  keep
whatsoever.  You may copy it  give it away or re-use it under the terms of, Profligate  wicked  vicious  unprincipled  reprobate  incorrigible  sinful  graceless  demoralized  dissolute  depraved  bad  licentious  corrupt  , Virtuous  conscientious  correct  upright  worthy  righteous  self-controlled  high-principled  steady  good
the Project Gutenberg License included with this eBook or online at, Degrade  disgrace  bring low  reduce  humble  demean  stoop  humiliate  depress  lower  sink  dishonor  , Promote  exalt  honor  raise  elevate  dignify  aggrandize
www.gutenberg.org.  If you are not located in the United States  you'll have, Degradation  depression  disgrace  humiliation  abjection  dishonor  shame  , Promotion  elevation  honor  exaltation  dignity  aggrandizement
to check the laws of the country where you are located before using this ebook., Confound  confuse  discompose  bewilder  daunt  cow  humble  disconcert  dishearten  motility  shame  humiliate  , Countenance  cheer  uphold  encourage  rally  inspirit  animate  incite  embolden  abet  buoy
Abate, Terminate  remove  suppress  lower  reduce  mitigate  diminish  moderate  lessen  subside  decrease  , Prolong  continue  revive  develop  increase  aggravate  magnify  brew  ferment  rage  extend  enlarge  amplify  raise  enhance
Title: A Complete Dictionary of Synonyms and Antonyms, Shorten  reduce  abridge  contract  curtail  epitomize  condense  prune  compress  , Lengthen  prolong  extend  enlarge  produce  elongate  amplify  expand  dilate
       or  Synonyms and Words of Opposite Meaning, Abridgment  reduction  contraction  curtailment  abstract  summary  epitome  condensation  compression  , Elongation  prolongation  extension  production  amplification  enlargement  expansion  dilation  expatiation  explication  dilution
Abderite, Cynic  sardonic  derisive  sarcastic  jocular  flippant  nonchalant  sportive  sprightful  buoyant  , Lachrymose  plaintive  maundering  querimonious  plaintive  dolesome  lackadaisical  grumbling  croaking  lugubrious
Author: Samuel Fallows, Abandon  relinquish  resign  surrender  vacate  , Retain  maintain  claim  occupy  assert  grasp  seize  usurp
Abdomen, Belly  paunch    ,
Release Date: February 9  2016 [EBook #51155], Abstraction  subtraction  deprivation  ablution  rape  seizure  appropriation  , Addition  adduction  replacement  restitution  restoration  surrender  reinstatement
Aberrant, Erratic  devious  divergent  incontinuous  desultory  disconnected  wandering  idiotic  inconsistent  inconsecutive  abnormal  exceptional  , Continuous  rectilineal  true  consistent  uniform  consecutive  normal  natural  faithful  regular
Language: English, Wandering  divergence  deviation  desultoriness  rambling  disconnectedness  hallucination  inconsecutiveness  idiocy  insanity  exception  abnormity  , Uniformity  consecutiveness  continuity  connectedness  principle  law  order  type  norm  project  line  tenor  progression  rectilinearity  regularity
Abet, Aid  support  promote  countenance  uphold  assist  instigate  encourage  incite  advocate  sanction  subsidize  embolden  , Thwart  contradict  obstruct  oppose  baffle  confound  discourage  disapprove  disconcert  counteract  deter  dissuade  frustrate  impede  denounce  expose
Character set encoding: UTF-8, Supporter  advocate  instigator  promoter  assistant  companion  accomplice  ally  encourager  associate  adviser  confederate  'participes criminis'  coadjutor  accessary  helper  , Opponent  counteracter  foe  adversary  detector  baffler  antagonist  disconcerter  dissuader  rival
Abeyance, Suspension  reservation  dormancy  expectation  intermission  , Revival  renewal  operation  resuscitation  action  enjoyment  possession  exercise  force
*** START OF THIS PROJECT GUTENBERG EBOOK COMPLETE DICTIONARY--SYNONYMS  ANTONYMS ***, Hate  abominate  detest  loathe  despise  dislike  eschew  nauseate  , Love  admire  enjoy  approve  affect  covet  relish  crave  desire
Abide, Dwell  stay  inhabit  continue  rest  tarry  lodge  reside  live  wait  sojourn  remain  expect  endure  tolerate  anticipate  confront  await  bear  face  watch  , Deport  migrate  move  journey  proceed  resist  mislike  forefend  avoid  shun  reject  abandon  forfeit
